OPT_MSE_1000runs,RAND_MSE_1000runs
4.9312793112166755,5.083463378271737
5.34099177696957,5.584620615621008
5.901645923140509,5.952942470121903
5.492298513637736,5.7526591923748205
4.813476925729642,4.909611569032813
5.938102784511659,5.961948454911731
5.51181201942762,5.530075299180501
5.049699285187384,5.131665373400166
5.499605142199995,5.59226181403407
6.373604372929777,6.439802252105872
4.57081887548982,4.648476873176309
5.137368612955381,5.270475183174555
5.248801266220503,5.258567985224867
4.789471145540901,4.800660265721595
5.070709941461954,5.20421849563705
4.77189017906989,4.8872771176713465
5.246698124236232,5.264284388415764
5.619847469382978,5.857261776714275
5.3559177161629234,5.3968889161334435
4.6640821730371576,4.743506511073196
5.590840927580273,5.825947350061881
5.75670333266544,5.911087055641957
5.211352676285331,5.288946446699685
5.524934641270502,5.649029095057112
4.64665679076668,4.612966996127859
5.903072150069041,5.986626688958059
5.1847164475525505,5.275982379395698
5.4577192456519485,5.656735135997365
5.362547787949519,5.534505447352891
5.430128044286235,5.5166516409167965
4.465765114700086,4.548136867692162
6.193272221777571,6.298176428235086
5.022728751987951,4.989784286466402
4.095831784442423,4.143857524778439
5.931337595925683,6.015424401189947
4.98339175234415,5.0455468279927045
5.448307023084297,5.521753502092316
5.097595308740785,5.32277262432719
5.266295214332509,5.335463684937331
4.794728727662675,4.9650030759893236
6.605572758978587,6.740723595556753
5.9816971680776865,6.308690874233967
4.396063839841243,4.49818843017621
4.462610443581147,4.4669366242436155
4.880103323419871,5.032477079031499
5.130888612535078,5.317315019439237
5.7472576146053695,5.809491439873852
5.078196916051832,5.099289758347696
4.822523413530863,4.827019578689662
6.310909253978472,6.381392975585699
5.676657193689021,5.793902057007543
7.002556945875539,7.0457010382307725
5.209048119068382,5.258890270979852
4.537988941619652,4.624303917376012
5.540428799131019,5.545862203214023
5.63780081280718,5.733362472357076
4.903302130492555,5.027589277722332
4.6988133246474195,4.736432490990355
6.203182719909051,6.397975498416507
5.416011127063896,5.560840698208339
5.07658454901907,5.240850327275497
4.816904378702504,5.004607565648923
4.633639413725143,4.610688962904578
4.455100240438076,4.416984800315368
3.8308158346024443,3.8303920114275565
5.124335843379976,5.270387029182004
4.922039733609049,5.007483439836913
4.542059645594115,4.647449361129784
