OPT_MSE_1000runs,OPT_W_Weights_MSE_1000runs,RAND_MSE_1000runs,RAND_W_Weights_MSE_1000runs
4275.812710906801,5839.5961282794415,4547.393561093853,4547.393561093853
3512.73971409819,9844.117153267014,3361.200954125252,3361.200954125252
9039.768934243479,7805.103088573985,8467.248539568394,8467.248539568394
3700.3166819037965,4538.873199649299,3868.20270819601,3868.20270819601
5779.433125016196,6722.1340708427915,5403.719692115328,5403.719692115328
3405.117761343518,5745.211871820144,3795.664257933128,3795.664257933128
4388.609655905233,4756.602231842194,4472.019198631122,4472.019198631122
3625.749286725843,5150.565125694238,3701.2510737087828,3701.2510737087828
3541.892357641557,4368.08439657736,3511.360886889499,3511.360886889499
3381.067803480407,4977.999595516106,3322.8825447620316,3322.8825447620316
3823.0931598771476,6003.428771256898,3943.779319392495,3943.779319392495
4043.459395357685,8845.150591127129,3721.538132504581,3721.538132504581
3772.86588526185,5647.854635671557,3846.3733527846384,3846.3733527846384
4136.5052206712735,9307.96589878647,3865.8605991911036,3865.8605991911036
6137.082509710248,4857.237466175602,6211.72546860812,6211.72546860812
2820.2848058189898,3138.4172277007415,2718.821923114766,2718.821923114766
3039.9980911916764,4793.180717199616,2920.061395093696,2920.061395093696
3296.581543335624,4585.117170948553,2865.927651573416,2865.927651573416
4937.959764133777,7684.023542741126,7016.654517761998,7016.654517761998
4176.298172541134,5828.275524790144,4516.405071240557,4516.405071240557
13916.374512200953,8332.99739528793,18729.485289844397,18729.485289844397
10195.68225258663,9309.194634511476,9181.570553443162,9181.570553443162
5009.332518763384,9033.099328675224,5120.024968318332,5120.024968318332
4456.541297261223,11201.011194467279,5899.056486931474,5899.056486931474
3565.569992095196,9116.695720381078,3711.5293077734636,3711.5293077734636
3906.588218343387,4721.828101681055,3571.857887157465,3571.857887157465
4025.9863618006557,7169.48714582202,5697.4199745450705,5697.4199745450705
3183.94721466087,11726.275250744555,2637.9331295060265,2637.9331295060265
3513.9981817007438,4562.331515516832,3115.399152001151,3115.399152001151
2757.750833061719,3011.971598402784,2613.9105212595537,2613.9105212595537
3389.230759870227,6616.279851200197,3043.6791716220837,3043.6791716220837
6894.661131476502,5720.208396390731,7355.339091534411,7355.339091534411
3859.664002125669,5567.748060899065,3792.085987001916,3792.085987001916
3603.5123809593374,4785.836289264753,3947.885698911246,3947.885698911246
4364.645599401464,6901.282825880199,4379.97281755923,4379.97281755923
9692.058766124512,11047.694349176945,9565.79438274101,9565.79438274101
3269.98692863887,3293.639592014446,3217.3805075909527,3217.3805075909527
2547.474752079679,3799.1030477951563,2546.9858783406494,2546.9858783406494
4138.104602375322,6237.20534690405,3444.0430555331404,3444.0430555331404
4128.943448078863,10954.08963772266,3870.912884516582,3870.912884516582
3283.0563972377963,5067.7896753913565,2787.961435899827,2787.961435899827
3130.5967552333127,5797.472788540566,3551.902270901502,3551.902270901502
3066.4953490838516,4298.173372690885,2655.2529573825896,2655.2529573825896
5991.451626375607,7697.892402178242,5556.273449924984,5556.273449924984
6761.471745328361,9417.29541903387,7215.665861641046,7215.665861641046
4165.045747855578,4672.3515466767585,4143.531983606379,4143.531983606379
6987.179454079517,8008.13318213595,5457.9944312539055,5457.9944312539055
6189.6812635811075,4835.288904126452,5423.879548211056,5423.879548211056
3326.805860004429,4763.794294153738,2965.6124692222565,2965.6124692222565
3431.2424556951323,8276.302811237882,2796.7110149693976,2796.7110149693976
5876.643596974849,6084.913568359577,5392.979101029873,5392.979101029873
2875.2287203445485,5803.041139378331,2731.6405225679596,2731.6405225679596
4223.775310238479,4392.36501032546,4029.587899162023,4029.587899162023
3487.140540298204,4796.849708712343,3636.0271868973045,3636.0271868973045
3186.382441073013,3702.380545641043,2688.5521344241547,2688.5521344241547
9090.35825791925,6788.846931593628,8691.33910338095,8691.33910338095
3349.137870321033,11362.921145755197,5850.226538584894,5850.226538584894
3144.0888679281597,5237.783901975204,2692.875716657236,2692.875716657236
6276.288585655889,16496.265134967118,10249.321353156594,10249.321353156594
3064.2394034947756,3304.4773298240457,3125.829710219557,3125.829710219557
6746.444007078079,11023.191760887494,5788.111008228453,5788.111008228453
5578.811237744893,11324.409812586737,4864.631164034906,4864.631164034906
5885.461767604329,7899.655513030382,5662.916601211143,5662.916601211143
9392.000404374423,8624.177307598184,8775.715338187574,8775.715338187574
3501.408250814329,9725.20924031374,3435.0152139514857,3435.0152139514857
3311.3691141300687,3752.0477915202523,3584.404216646259,3584.404216646259
3172.4923160913113,3812.2913650520904,4275.230173644151,4275.230173644151
4127.230504425008,7324.22166451433,3605.703032702894,3605.703032702894
5476.386191266509,8856.655350625668,4803.488013735064,4803.488013735064
2912.706650038415,4411.980985607875,4345.340428486168,4345.340428486168
6826.735601122099,11042.965280106819,8204.725795672714,8204.725795672714
9520.610891433173,8032.516876372118,10019.987891603227,10019.987891603227
3532.2520671954708,7137.428923972162,3597.0232099975265,3597.0232099975265
6088.302893086339,12628.684642590346,5956.829057953239,5956.829057953239
3250.009746421477,3502.7709334031997,4130.576210093869,4130.576210093869
3283.2107992204374,3976.325118616963,2911.1363416572385,2911.1363416572385
2463.6231855497363,7034.67179815086,2822.770416419699,2822.770416419699
2893.9695126333318,7003.676232711304,2955.508471635995,2955.508471635995
3965.4966282818455,9773.57239472988,4250.128635198494,4250.128635198494
5871.139116055616,5945.860060070154,7134.982583032796,7134.982583032796
3597.1731805859345,6227.263332567954,3445.0269631570395,3445.0269631570395
3236.2140851070026,5781.869738858438,2956.873458745932,2956.873458745932
3163.4586634965685,4640.885755797575,3431.0908374204687,3431.0908374204687
4903.655337724394,11050.769222904364,4423.947131793566,4423.947131793566
