OPT_MSE_1000runs,RAND_MSE_1000runs
282.89301619884054,226.71577074110814
2185.0724530828593,2437.9225477035757
4504.740021728071,11948.94800575139
287.6814414025724,426.89728874633704
2145.0952375069546,2365.339430338777
181.17860262439467,216.537136270978
8257.522431783102,8846.658690091483
155.7627592524748,230.51454989324512
2438.782913618703,2299.58721326224
256.4490453541913,267.32568109114646
284.8778638021559,727.9434740632818
1282.3893828983084,1426.1950675381977
4689.487895825658,7034.378815901148
655.1578523478369,357.32827446338047
416.5859385829071,325.85603692307035
2075.735208555856,3149.265614670762
480.64942317631835,1057.8391597387413
167.4508105354283,465.3110246976042
197.73815025139373,206.45860198522257
2150.3907708295656,2537.5190735915276
229.98479537151724,248.53841839772775
337.38980046485716,611.623155149161
288.78901359826295,224.6482697090923
290.8281834069048,264.5681006929342
8269.570953631664,8786.724666396636
2136.577789120803,2527.371455846317
243.80318001551092,144.86782244549966
8333.219500555902,8917.764861082334
316.93074481701296,757.2682531489515
4857.1191099998905,11406.687031623067
1347.9656145830827,1637.0911325456905
271.2403626890699,220.44489657737267
566.7163677002402,402.23870012207954
159.8563373963563,186.12461083740314
1830.4315840713073,2208.9335224435094
4695.957689068402,6990.3617079915075
4538.32960826933,4864.510839205237
1505.9246792409353,1482.5537997968943
74.63462951509894,88.21556535241295
137.57702376116444,140.53371564474688
97.4042307880493,81.0168061521451
2372.0057469519825,1888.2605075021288
4970.766379080227,5710.422109382742
8121.973416506913,11035.468162826695
6027.662683210802,7072.242913751382
201.62937026926426,208.72667485429278
267.7624135242665,308.6261391874072
1731.8521980504472,1537.2934024431124
6376.429721351768,6328.021158706838
556.5664170414859,419.79436858606505
6799.195654735267,7846.77463408691
286.88531469819617,333.0046457749345
93.84723724843163,92.41480670315751
160.566563597561,103.42561844397827
4351.090585196651,3981.7402056815563
311.3794158200227,337.42108316799647
5136.708170401507,8696.624503254521
213.2773075403679,186.6863803855146
694.9608824477803,606.646881919549
208.70681052897774,224.5674504886442
5473.047087957324,6249.992625046019
13400.876950392903,20562.222178026623
5083.555542851634,6507.572347493982
2133.239177609799,2868.277209568492
1818.1402765785574,2111.4151589443995
350.27481026377086,270.8191329277219
8254.693540893562,9390.00456524442
74.17181220173569,155.01462488775783
266.8356033545939,530.7151723646275
730.1834723231287,1512.7749430238441
391.5806073613294,436.4185783985994
193.465427962907,229.67585393167732
13832.5824624043,13497.474639530374
128.91355051481045,126.75729373750474
200.27201452874561,228.76025334463512
6177.47966209165,7580.9999050471715
2299.8392491800932,3004.3720590627954
1656.2152797016151,2142.395554279444
227.3693981571107,145.57171717656132
4908.089981209518,7815.043431587626
4827.956390502797,3711.647637083919
4373.669456376917,6588.253398255815
199.52949830474648,172.51040975694318
518.7223634258237,959.2484501975641
1419.9789470814014,1257.5657424884298
7459.798331286006,4505.139900490033
2194.2106766419006,2809.9526778515374
13434.05114574105,15173.531495768313
2159.9153866846746,2915.4614372013425
89.76273791254786,190.94137688407469
4676.220926415104,11884.564398977145
12212.756503979295,16067.585242797379
2058.919651856387,3445.4027209927453
4030.378241919457,6087.08633391034
643.9904240116297,493.26036158633116
305.2256835786279,300.4697807066028
115.3529566089774,99.57909006417682
2152.6760676552362,3959.7006701878654
159.22172757203168,197.1332819978576
2166.7151549576242,3297.8936081455417
84.59255502925899,76.07372457023992
2150.311020235557,3266.6163624019296
144.28967663712527,111.91781308015736
154.66882791311542,165.99117881140552
275.99784322936387,147.32700658411983
288.34153926623566,395.6367778438393
5051.743644025859,5121.532318195895
1442.4697251522662,1946.9194191810047
248.28634277788223,332.47888923507713
379.8409911627239,410.30576931014843
4796.987954987904,7625.684250499746
214.53016626038274,201.68115042190516
283.81530762714175,200.88797669387856
286.19934426111377,168.3719627211292
1329.8261811699872,1652.4689726043205
151.3597526246995,326.83220978067084
192.35253444314614,200.6656078768134
1230.3235472953427,1511.4183809206822
4599.330773041064,6970.8844835048285
193.13768055157692,237.41464916360104
1665.5752560346082,2841.9850702246863
145.04184509395535,294.29205514477036
190.9806804883238,156.08850443165096
147.2286952557683,164.44561249006924
1675.6706602393526,2043.130846932158
682.8541409975758,804.5707476834167
2070.2176427074255,2656.607560848518
7746.603752739344,9723.882591054353
1538.0199893178917,1842.234231354872
93.74984190458748,90.66784564038227
181.7266343127269,159.64028880129308
366.3706396987284,228.45971559428614
11725.956718852654,14468.920887482896
271.4689452468289,200.68423922533103
9864.759838135677,11356.306498592821
1335.7974220275412,1528.7679912564631
2019.4316286325366,2625.3078971021887
161.379353997069,158.26911167362232
247.70834298900368,725.2998786952007
4835.17376060623,8093.402665393932
2441.327828488447,3323.8964119502016
408.8294161686326,439.83467120566553
8015.656615609531,8625.629045770087
1382.7877223178516,2288.39439845317
253.8480873918418,205.4020443682839
130.32500458043899,125.12778612744334
8545.531623708346,9226.89916332158
103.83672858865124,127.9214437639482
89.34761499232107,133.7908204101132
350.442757956904,281.49215813446256
10469.847491061651,13286.86997623559
2388.4139052018922,3017.4366326977265
1412.7790936780875,2609.2860750976643
4130.987811239344,5432.284541269604
174.67630926406278,102.32524138182767
2114.299249216345,2409.9926079515362
184.89424413538802,227.2093976209296
249.01252660165235,862.0633976480253
2241.07700853387,2512.6818000031685
219.83785583956623,174.87814342312637
249.97718784212216,162.77720097641338
1510.7598769977033,1555.2969549276102
254.20864955550712,279.950967924004
182.00066908757788,235.27274535502016
12280.197865637354,12169.16948996002
279.31793155486287,253.48049366873212
1915.6287020415489,3386.666720645833
6170.2493357426165,5503.7710737822745
122.8577402427758,89.6678318308449
590.6188298157284,371.8848087115124
7082.431715770111,8597.278563885542
1927.4872603199142,1910.77318672458
542.4346469818735,557.1364998494695
